tag,pol,chan,rowmax_z,score,pf,v_hz_s,a_hz_s2,curve_gain_db,seconds
on,1,27,6.00,5.999,,-0.2,+0.03,0.0,
on,1,28,6.00,6.000,,+0.0,+0.00,0.0,
on,1,29,6.00,6.000,,-0.6,+0.05,0.0,
on,1,30,6.00,5.999,,+0.2,-0.01,0.0,
on,1,31,6.00,6.000,,-0.3,+0.02,0.0,
on,1,32,6.00,5.934,,-0.3,+0.02,0.0,
on,1,33,6.00,6.000,,-0.2,+0.01,0.0,
on,1,34,6.00,6.000,,-0.3,+0.02,0.0,
on,1,35,6.00,6.000,,-0.1,+0.00,0.0,
on,1,36,6.00,6.000,,+0.1,-0.01,0.0,
on,1,37,6.00,6.000,,-0.3,+0.03,0.0,
on,1,38,6.00,6.000,,-0.3,+0.03,0.0,
on,1,39,6.00,6.000,,+0.1,-0.01,0.0,
on,1,40,6.00,6.000,,-0.3,+0.02,0.0,
on,1,41,6.00,6.000,,-0.1,+0.00,0.0,
on,1,42,6.00,6.000,,-0.5,+0.05,0.0,
on,1,43,6.00,6.000,,+0.1,-0.01,0.0,
on,1,44,6.00,6.000,,+0.0,+0.00,0.0,
on,1,45,6.00,6.000,,-0.1,+0.01,0.0,
on,1,46,6.00,6.000,,+0.3,-0.02,0.0,
on,1,47,6.00,6.000,,-0.1,+0.01,0.0,
on,1,48,6.00,4.129,,+1.3,+0.25,0.0,
on,1,49,6.00,6.000,,-0.1,+0.00,0.0,
on,1,50,6.00,6.000,,-0.4,+0.04,0.0,
on,1,51,6.00,6.000,,-0.1,+0.01,0.0,
on,1,52,6.00,6.000,,+0.1,-0.01,0.0,
on,1,53,6.00,6.000,,-0.1,+0.01,0.0,
on,1,54,6.00,6.000,,+0.1,-0.02,0.0,
on,1,55,6.00,6.000,,+0.1,-0.01,0.0,
on,1,56,6.00,6.000,,+0.2,-0.01,0.0,
on,1,57,6.00,6.000,,+0.1,-0.01,0.0,
on,1,58,6.00,6.000,,+0.1,-0.01,0.0,
on,1,59,6.00,6.000,,-0.1,-0.00,0.0,
on,1,60,6.00,6.000,,-0.0,+0.00,0.0,
on,1,61,6.00,6.000,,+0.1,-0.01,0.0,
on,1,62,6.00,6.000,,+0.1,-0.00,0.0,
on,1,63,6.00,6.000,,+0.3,-0.02,0.0,
off,0,0,6.00,4.379,,+23.0,-2.73,0.1,
off,0,1,6.00,5.986,,+0.3,-0.02,0.0,
off,0,2,6.00,5.992,,+0.4,-0.03,0.0,
off,0,3,6.00,5.999,,+0.1,-0.01,0.0,
off,0,4,6.00,5.991,,-0.4,+0.03,0.0,
off,0,5,6.00,5.995,,-0.5,+0.04,0.0,
off,0,6,6.00,5.996,,+0.1,-0.01,0.0,
off,0,7,6.00,5.996,,-0.1,+0.01,0.0,
off,0,8,6.00,5.998,,-0.1,+0.02,0.0,
off,0,9,6.00,6.000,,+0.3,-0.01,0.0,
off,0,10,6.00,5.998,,+0.0,+0.01,0.0,
off,0,11,6.00,5.996,,+0.3,-0.03,0.0,
off,0,12,6.00,5.999,,+0.1,-0.00,0.0,
off,0,13,6.00,5.998,,-0.2,+0.02,0.0,
off,0,14,6.00,5.999,,+0.1,-0.00,0.0,
off,0,15,6.00,6.000,,-0.0,-0.00,0.0,
off,0,16,6.00,6.000,,+0.1,-0.00,0.0,
off,0,17,6.00,5.998,,+0.2,-0.02,0.0,
off,0,18,6.00,5.988,,-0.3,+0.03,0.0,
off,0,19,6.00,5.994,,+0.1,-0.00,0.0,
off,0,20,6.00,5.999,,+0.2,-0.02,0.0,
off,0,21,6.00,5.999,,+0.4,-0.03,0.0,
off,0,22,6.00,6.000,,-0.1,+0.01,0.0,
off,0,23,6.00,6.000,,+0.1,-0.01,0.0,
off,0,24,6.00,5.999,,-0.0,+0.00,0.0,
off,0,25,6.00,6.000,,+0.3,-0.03,0.0,
off,0,26,6.00,6.000,,+0.0,+0.00,0.0,
off,0,27,6.00,6.000,,+0.0,-0.01,0.0,
off,0,28,6.00,6.000,,+0.0,-0.01,0.0,
off,0,29,6.00,6.000,,-0.3,+0.03,0.0,
off,0,30,6.00,6.000,,+0.1,-0.01,0.0,
off,0,31,6.00,6.000,,+0.1,-0.01,0.0,
off,0,32,6.00,4.737,,+0.0,-0.01,0.0,
off,0,33,6.00,6.000,,-0.4,+0.03,0.0,
off,0,34,6.00,6.000,,+0.1,-0.01,0.0,
off,0,35,6.00,6.000,,-0.1,+0.01,0.0,
off,0,36,6.00,6.000,,-0.5,+0.04,0.0,
off,0,37,6.00,6.000,,-0.0,-0.00,0.0,
off,0,38,6.00,6.000,,-0.1,+0.01,0.0,
off,0,39,6.00,6.000,,+0.4,-0.03,0.0,
off,0,40,6.00,6.000,,+0.0,+0.00,0.0,
off,0,41,6.00,6.000,,-0.3,+0.03,0.0,
off,0,42,6.00,6.000,,-0.0,+0.00,0.0,
off,0,43,6.00,6.000,,-0.1,+0.00,0.0,
off,0,44,6.00,6.000,,+0.1,-0.00,0.0,
off,0,45,6.00,6.000,,-0.2,+0.02,0.0,
off,0,46,6.00,6.000,,+0.2,-0.01,0.0,
off,0,47,6.00,6.000,,+0.1,-0.01,0.0,
off,0,48,6.00,6.000,,+0.1,-0.00,0.0,
off,0,49,6.00,6.000,,+0.3,-0.03,0.0,
off,0,50,6.00,6.000,,-0.2,+0.02,0.0,
off,0,51,6.00,6.000,,+0.1,-0.02,0.0,
off,0,52,6.00,6.000,,-0.3,+0.02,0.0,
off,0,53,6.00,6.000,,-0.2,+0.01,0.0,
off,0,54,6.00,6.000,,-0.4,+0.02,0.0,
off,0,55,6.00,6.000,,+0.1,-0.01,0.0,
off,0,56,6.00,6.000,,+0.1,-0.01,0.0,
off,0,57,6.00,6.000,,+0.2,-0.02,0.0,
off,0,58,6.00,6.000,,-0.1,+0.02,0.0,
off,0,59,6.00,6.000,,+0.0,+0.01,0.0,
off,0,60,6.00,6.000,,-0.2,+0.02,0.0,
off,0,61,6.00,6.000,,+0.0,-0.00,0.0,
off,0,62,6.00,6.000,,+0.2,-0.02,0.0,
off,0,63,6.00,6.000,,-0.1,+0.02,0.0,
off,1,0,6.00,6.000,,+0.0,-0.01,0.0,
off,1,1,6.00,5.979,,-0.1,+0.02,0.0,
off,1,2,6.00,5.992,,-0.2,+0.02,0.0,
off,1,3,6.00,5.997,,+0.1,-0.01,0.0,
off,1,4,6.00,5.996,,+0.0,+0.00,0.0,
off,1,5,6.00,5.994,,-0.2,+0.01,0.0,
off,1,6,6.00,5.995,,-0.0,+0.00,0.0,
off,1,7,6.00,5.996,,-0.5,+0.05,0.0,
off,1,8,6.00,5.999,,+0.1,-0.01,0.0,
off,1,9,6.00,6.000,,-0.1,+0.01,0.0,
off,1,10,6.00,6.000,,-0.2,+0.02,0.0,
off,1,11,6.00,6.000,,-0.2,+0.02,0.0,
off,1,12,6.00,5.999,,+0.1,-0.01,0.0,
off,1,13,6.00,6.000,,+0.1,-0.01,0.0,
off,1,14,6.00,5.999,,+0.2,-0.01,0.0,
off,1,15,6.00,5.999,,+0.1,-0.01,0.0,
off,1,16,6.00,5.996,,+0.1,-0.01,0.0,
off,1,17,6.00,5.998,,+0.2,-0.01,0.0,
off,1,18,6.00,5.990,,-0.2,+0.03,0.0,
off,1,19,6.00,5.998,,-0.4,+0.03,0.0,
off,1,20,6.00,5.999,,-0.2,+0.01,0.0,
off,1,21,6.00,6.000,,-0.5,+0.04,0.0,
off,1,22,6.00,6.000,,-0.2,+0.01,0.0,
off,1,23,6.00,5.999,,-0.4,+0.03,0.0,
off,1,24,6.00,5.999,,+0.1,-0.01,0.0,
off,1,25,6.00,6.000,,+0.1,+0.00,0.0,
off,1,26,6.00,6.000,,-0.1,+0.01,0.0,
off,1,27,6.00,6.000,,+0.2,-0.01,0.0,
off,1,28,6.00,6.000,,+0.1,-0.01,0.0,
off,1,29,6.00,6.000,,-0.1,+0.01,0.0,
off,1,30,6.00,5.999,,+0.1,+0.00,0.0,
off,1,31,6.00,6.000,,+0.0,-0.01,0.0,
off,1,32,6.00,5.945,,-0.2,+0.02,0.0,
off,1,33,6.00,6.000,,-0.1,+0.01,0.0,
off,1,34,6.00,6.000,,+0.1,+0.00,0.0,
off,1,35,6.00,6.000,,+0.1,-0.01,0.0,
off,1,36,6.00,6.000,,-0.1,+0.01,0.0,
off,1,37,6.00,6.000,,-0.0,+0.01,0.0,
off,1,38,6.00,6.000,,-0.1,+0.01,0.0,
off,1,39,6.00,6.000,,-0.3,+0.02,0.0,
off,1,40,6.00,6.000,,-0.2,+0.02,0.0,
off,1,41,6.00,6.000,,-0.2,+0.01,0.0,
off,1,42,6.00,6.000,,+0.0,+0.00,0.0,
off,1,43,6.00,6.000,,+0.2,-0.01,0.0,
off,1,44,6.00,6.000,,-0.3,+0.02,0.0,
off,1,45,6.00,6.000,,+0.0,-0.01,0.0,
off,1,46,6.00,6.000,,-0.1,+0.01,0.0,
off,1,47,6.00,6.000,,-0.1,+0.01,0.0,
off,1,48,6.00,5.423,,-0.8,+0.06,0.0,
off,1,49,6.00,6.000,,+0.1,-0.01,0.0,
off,1,50,6.00,6.000,,-0.3,+0.02,0.0,
off,1,51,6.00,6.000,,-0.4,+0.03,0.0,
off,1,52,6.00,6.000,,+0.1,-0.01,0.0,
off,1,53,6.00,6.000,,-0.0,+0.01,0.0,
off,1,54,6.00,6.000,,-0.0,+0.00,0.0,
off,1,55,6.00,6.000,,-0.1,+0.01,0.0,
off,1,56,6.00,6.000,,-0.2,+0.01,0.0,
off,1,57,6.00,6.000,,+0.2,-0.02,0.0,
off,1,58,6.00,6.000,,-0.1,+0.02,0.0,
off,1,59,6.00,6.000,,-0.1,+0.01,0.0,
off,1,60,6.00,6.000,,-0.0,+0.00,0.0,
off,1,61,6.00,6.000,,-0.1,+0.00,0.0,
off,1,62,6.00,6.000,,-0.2,+0.01,0.0,
off,1,63,6.00,6.000,,-0.3,+0.02,0.0,
