target,block,chan,persist,multichan
E2E,0,0,1,1
E2E,0,21,0,1
E2E,0,23,0,1
E2E,0,26,0,1
E2E,0,43,0,1
E2E,0,55,0,1
E2E,0,6,0,1
E2E,0,9,1,1
E2E,1,0,1,1
E2E,1,24,0,1
E2E,1,25,0,1
E2E,1,30,0,1
E2E,1,56,0,1
E2E,1,57,0,1
E2E,1,9,1,1
