block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict,comb,comb_f0,comb_score,frame,nongauss
0,0,3,1.71,1,2.50,1391262,Y2,,,0,19.629,clean,0,0,0.00,0,0
0,1,3,1.39,896,2.42,107825,Y2,,,0,19.574,clean,0,0,0.00,0,0
0,2,3,1.56,1,2.43,339121,Y4,,,0,19.582,clean,0,0,0.00,0,0
0,3,3,1.35,200,2.40,479400,Y2,,,0,19.652,clean,0,0,0.00,0,0
0,4,3,1.34,714,2.35,687182,Y4,,,0,19.774,clean,0,0,0.00,0,0
0,5,3,1.39,1,2.37,305235,Y4,,,0,19.538,clean,0,0,0.00,0,0
0,6,3,1.60,1476,2.40,153065,Y2,,,0,19.301,clean,0,0,0.00,0,0
0,7,3,1.37,1,2.56,550121,Y4,,,0,19.100,clean,0,0,0.00,0,0
0,8,3,1.54,1,2.54,516683,Y4,,,1,18.770,clean,0,0,0.00,0,0
0,9,3,1.49,1,2.58,393301,Y2,,,0,18.417,clean,0,0,0.00,0,0
0,10,3,1.45,996,2.50,580072,Y4,,,0,18.054,clean,0,0,0.00,0,0
0,11,3,1.64,1,2.64,692815,Y4,,,0,17.686,clean,0,0,0.00,0,0
0,12,3,1.73,1,2.40,677437,Y2,,,0,17.169,clean,0,0,0.00,0,0
0,13,3,1.52,1,2.99,1360238,Y4,,,0,16.731,clean,0,0,0.00,0,0
0,14,3,1.70,1,2.38,90033,Y4,,,0,16.445,clean,0,0,0.00,0,0
0,15,3,1.37,1,2.50,1464844,Y4,,,0,16.238,clean,0,0,0.00,0,0
0,16,3,1.54,1,2.30,577480,Y2,,,0,16.285,clean,0,0,0.00,0,0
0,17,3,1.47,1,2.29,930279,Y4,,,0,16.446,clean,0,0,0.00,0,0
0,18,3,1.52,689,2.34,200629,Y4,,,0,17.693,clean,0,0,0.00,0,0
0,19,3,1.44,1,2.45,653923,Y2,,,0,16.384,clean,0,0,0.00,0,0
0,20,3,1.62,1,2.45,1300067,Y4,,,0,16.066,clean,0,0,0.00,0,0
0,21,3,1.31,1,2.36,1270473,Y2,,,0,15.939,clean,0,0,0.00,0,0
0,22,3,1.48,1,2.36,1276553,Y2,,,0,15.938,clean,0,0,0.00,0,0
0,23,3,1.84,1,2.58,144124,Y2,,,0,15.897,clean,0,0,0.00,0,0
0,24,3,1.57,1,2.44,304520,Y2,,,0,15.804,clean,0,0,0.00,0,0
0,25,3,1.46,1,2.38,731617,Y4,,,0,15.425,clean,0,0,0.00,0,0
0,26,3,1.44,1,2.34,634342,Y2,,,0,14.975,clean,0,0,0.00,0,0
0,27,3,1.71,642,2.42,1438379,Y4,,,0,14.961,clean,0,0,0.00,0,0
0,28,3,1.70,1,2.28,959247,Y2,,,0,14.559,clean,0,0,0.00,0,0
0,29,3,1.84,1,2.33,1098633,Y2,,,0,14.378,clean,0,0,0.00,0,0
0,30,3,1.71,1,2.77,1403958,Y4,,,0,14.143,clean,0,0,0.00,0,0
0,31,3,2.12,1,2.36,578374,Y4,,,0,13.888,clean,0,0,0.00,0,0
0,32,3,1.41,1136,2.47,436932,Y4,,,0,13.646,clean,0,0,0.00,0,0
0,33,3,1.55,1,2.49,464469,Y4,,,0,13.488,clean,0,0,0.00,0,0
0,34,3,1.67,1,2.50,1041859,Y4,,,0,13.495,clean,0,0,0.00,0,0
0,35,3,1.67,1,2.25,1409233,Y2,,,0,13.585,clean,0,0,0.00,0,0
0,36,3,1.84,1,2.31,1151830,Y2,,,0,13.670,clean,0,0,0.00,0,0
0,37,3,1.87,1,2.94,57310,Y2,,,0,13.614,clean,0,0,0.00,0,0
0,38,3,1.75,1,2.40,36925,Y4,,,0,13.525,clean,0,0,0.00,0,0
0,39,3,1.73,1,2.46,1235515,Y2,,,0,13.411,clean,0,0,0.00,0,0
0,40,3,1.66,1,2.33,867069,Y4,,,0,13.420,clean,0,0,0.00,0,0
0,41,3,1.80,1,2.58,1343787,Y2,,,0,13.385,clean,0,0,0.00,0,0
0,42,3,1.60,1,2.28,315160,Y2,,,0,13.399,clean,0,0,0.00,0,0
0,43,3,1.63,1,2.57,1122504,Y4,,,0,13.291,clean,0,0,0.00,0,0
