block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict,comb,comb_f0,comb_score,frame,nongauss
0,0,1,11.10,1,2.32,206620,Y4,0.00/noise-like,0.24/noise-like,0,20.512,SPECTRAL-LINE,0,0,0.00,0,0
0,1,1,1.33,467,2.81,1433104,Y4,,,0,19.566,clean,0,0,0.00,0,0
0,2,1,1.36,657,2.65,610113,Y4,,,0,18.567,clean,0,0,0.00,0,0
0,3,1,1.52,1,2.55,1293451,Y2,,,0,17.982,clean,0,0,0.00,0,0
0,4,1,1.36,1,2.41,350565,Y4,,,0,17.838,clean,0,0,0.00,0,0
0,5,1,1.61,1,2.33,1174182,Y4,,,0,18.023,clean,0,0,0.00,0,0
0,6,1,1.65,1478,2.43,392944,Y2,,,0,18.026,clean,0,0,0.00,0,0
0,7,1,1.43,217,2.34,320703,Y2,,,0,17.416,clean,0,0,0.00,0,0
0,8,1,1.49,1,2.52,546455,Y2,,,0,16.734,clean,0,0,0.00,0,0
0,9,1,1.46,1,2.38,952810,Y2,,,0,16.224,clean,0,0,0.00,0,0
0,10,1,1.50,1,2.46,1313746,Y4,,,0,16.233,clean,0,0,0.00,0,0
0,11,1,1.35,1213,2.53,108629,Y4,,,0,16.610,clean,0,0,0.00,0,0
0,12,1,1.43,608,2.55,796884,Y4,,,0,16.885,clean,0,0,0.00,0,0
0,13,1,1.43,1,2.25,38624,Y4,,,0,16.704,clean,0,0,0.00,0,0
0,14,1,1.41,1,2.37,1424611,Y4,,,0,16.211,clean,0,0,0.00,0,0
0,15,1,1.80,1,2.51,763088,Y4,,,0,15.901,clean,0,0,0.00,0,0
0,16,1,1.45,1,2.51,1178741,Y4,,,0,16.171,clean,0,0,0.00,0,0
0,17,1,1.45,1,2.23,796348,Y2,,,0,16.852,clean,0,0,0.00,0,0
0,18,1,1.60,673,2.34,538141,Y4,,,0,19.168,clean,0,0,0.00,0,0
0,19,1,1.67,1,2.41,1275390,Y4,,,0,17.247,clean,0,0,0.00,0,0
0,20,1,1.39,1,2.34,543505,Y2,,,0,16.370,clean,0,0,0.00,0,0
0,21,1,1.49,1,2.47,35673,Y4,,,0,15.668,clean,0,0,0.00,0,0
0,22,1,1.57,1,2.44,884146,Y2,,,0,15.387,clean,0,0,0.00,0,0
0,23,1,1.43,1,2.44,968814,Y2,,,0,15.732,clean,0,0,0.00,0,0
0,24,1,1.65,1,2.55,402600,Y4,,,0,16.128,clean,0,0,0.00,0,0
0,25,1,2.07,204,2.49,583023,Y2,,,0,15.986,clean,0,0,0.00,0,0
0,26,1,1.49,1,2.37,558436,Y4,,,0,15.402,clean,0,0,0.00,0,0
0,27,1,1.67,614,2.38,1325369,Y4,,,0,14.988,clean,0,0,0.00,0,0
0,28,1,1.79,1,2.50,24498,Y2,,,0,14.445,clean,0,0,0.00,0,0
0,29,1,1.81,1,2.30,831127,Y2,,,0,14.674,clean,0,0,0.00,0,0
