block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,3,3.10,1,2.67,459999,Y4,0.00/noise-like,0.24/noise-like,0,19.660,hump-note
0,1,3,1.34,352,2.31,364155,Y4,,,0,19.597,clean
0,2,3,1.41,751,2.29,1404762,Y4,,,0,19.591,clean
0,3,3,1.36,486,2.50,1150846,Y4,,,0,19.676,clean
0,4,3,1.54,1,2.31,17703,Y4,,,0,19.805,clean
0,5,3,1.46,1,2.24,1228541,Y2,,,0,19.600,clean
0,6,3,1.58,1478,2.69,693530,Y4,,,0,19.291,clean
0,7,3,1.38,1,2.48,795454,Y2,,,1,19.111,clean
0,8,3,1.43,449,2.58,628620,Y4,,,0,18.837,clean
0,9,3,1.43,997,2.53,14305,Y4,,,0,18.452,clean
0,10,3,1.42,1190,2.52,1386702,Y2,,,0,18.103,clean
0,11,3,1.36,378,2.47,1122952,Y2,,,0,17.701,clean
0,12,3,1.63,1,2.28,276357,Y2,,,0,17.228,clean
0,13,3,1.45,1,2.28,85831,Y2,,,0,16.759,clean
0,14,3,1.65,1,2.52,279665,Y2,,,0,16.436,clean
0,15,3,1.52,1,2.36,1082093,Y2,,,0,16.263,clean
0,16,3,1.35,160,2.39,1427203,Y4,,,0,16.322,clean
0,17,3,1.52,1,2.41,1157463,Y4,,,0,16.479,clean
0,18,3,1.58,734,2.28,1397878,Y2,,,0,17.737,clean
0,19,3,1.38,745,2.49,467330,Y2,,,0,16.439,clean
0,20,3,1.65,1,2.39,390261,Y4,,,0,16.110,clean
0,21,3,1.47,1,2.29,781417,Y2,,,0,15.971,clean
0,22,3,1.80,1,2.68,748336,Y2,,,0,15.936,clean
0,23,3,1.69,1,2.37,182211,Y2,,,0,15.936,clean
0,24,3,1.71,1,2.27,1297563,Y2,,,0,15.871,clean
0,25,3,1.51,1,4.99,2950,Y4,0.00/noise-like,0.00/noise-like,8,15.474,FAM-HIT
0,26,3,1.67,1,2.31,956655,Y2,,,0,15.050,clean
0,27,3,1.67,630,2.23,538319,Y4,,,0,14.986,clean
0,28,3,1.48,1,2.27,758529,Y4,,,0,14.577,clean
0,29,3,1.81,1,2.35,1091927,Y4,,,0,14.394,clean
0,30,3,1.76,1,2.30,1069576,Y4,,,0,14.157,clean
0,31,3,1.90,1,2.52,1178652,Y4,,,0,13.899,clean
0,32,3,1.41,1446,2.40,715166,Y2,,,0,13.642,clean
0,33,3,1.91,1,2.37,549138,Y4,,,0,13.546,clean
0,34,3,1.60,1,2.32,1323134,Y2,,,0,13.513,clean
0,35,3,1.83,1,2.38,1233816,Y4,,,0,13.576,clean
0,36,3,1.67,1,2.55,281274,Y2,,,0,13.684,clean
0,37,3,1.89,1,2.42,915259,Y2,,,0,13.651,clean
0,38,3,1.70,1,2.65,85026,Y2,,,0,13.522,clean
0,39,3,1.55,1,2.24,779808,Y4,,,0,13.464,clean
0,40,3,1.99,1,2.36,538409,Y2,,,0,13.445,clean
0,41,3,1.59,1,2.48,996709,Y4,,,0,13.435,clean
0,42,3,1.71,1,2.30,102550,Y4,,,0,13.413,clean
0,43,3,1.78,1,2.37,1116604,Y4,,,0,13.321,clean
0,44,3,1.86,1,2.35,402868,Y4,,,0,13.115,clean
0,45,3,1.82,1,2.40,1418531,Y2,,,0,12.939,clean
0,46,3,1.89,1,2.48,1048923,Y4,,,0,12.779,clean
0,47,3,1.82,1,2.50,522316,Y4,,,0,12.523,clean
0,48,3,3.08,1,2.31,864208,Y4,0.00/noise-like,0.00/noise-like,0,12.165,hump-note
0,49,3,1.80,1,2.32,71436,Y2,,,0,11.756,clean
0,50,3,1.75,1,2.40,856966,Y2,,,0,11.449,clean
0,51,3,2.29,1,2.42,214040,Y2,,,0,11.142,clean
0,52,3,1.99,1,2.33,950754,Y4,,,0,10.900,clean
