block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,49,0,109.45,1,3.40,179,Y4,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,50,0,109.54,1,4.33,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,51,0,111.42,1,3.80,13769,Y4,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,52,0,108.59,1,5.18,8047,Y4,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,53,0,109.17,1,8.16,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,54,0,112.93,1,5.81,66787,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,55,0,112.08,1,3.59,179,Y4,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,56,0,110.88,1,4.83,58562,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,57,0,108.04,1,5.45,179,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,58,0,108.54,1,4.39,179,Y2,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,59,0,107.25,1,4.12,8047,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,60,0,112.32,1,3.95,179,Y2,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,61,0,110.08,1,3.72,268,Y2,0.75/CANDIDATE,0.24/noise-like,SPECTRAL-LINE+VM-WATCH
0,62,0,111.29,1,3.82,108898,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
0,63,0,109.51,1,7.00,58383,Y4,0.75/CANDIDATE,0.00/noise-like,SPECTRAL-LINE+VM-WATCH
