block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
1,55,1,2.78,1,10.93,179,Y4,0.00/noise-like,0.00/noise-like,FAM-HIT
1,57,1,0,-1,0,0,-,,,QUARANTINE:dark-lane range=65 distinct=63
