block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,0,4.33,1,2.66,695586,Y4,0.00/noise-like,0.24/noise-like,0,19.271,hump-note
0,1,0,1.51,1,2.36,604212,Y2,,,0,18.763,clean
0,2,0,1.44,1,2.32,1291484,Y2,,,0,18.218,clean
0,3,0,1.67,1,2.41,119179,Y2,,,0,17.827,clean
0,4,0,1.50,1,2.47,522405,Y4,,,0,17.691,clean
0,5,0,1.39,1,2.41,198930,Y4,,,0,17.871,clean
0,6,0,1.45,1,2.37,75728,Y2,,,0,18.161,clean
0,7,0,1.37,1,2.29,145108,Y2,,,0,18.014,clean
0,8,0,1.70,1,2.39,687003,Y2,,,0,17.343,clean
0,9,0,1.36,1,2.46,226736,Y2,,,0,17.180,clean
0,10,0,1.68,1,2.35,291646,Y2,,,0,17.353,clean
0,11,0,1.50,1,2.23,1208872,Y4,,,0,17.359,clean
0,12,0,1.50,1,2.33,712663,Y4,,,0,17.251,clean
0,13,0,1.34,1102,2.28,1431942,Y2,,,0,16.997,clean
0,14,0,1.48,1,2.47,851333,Y4,,,0,16.371,clean
0,15,0,1.37,1,2.30,1033992,Y2,,,0,15.946,clean
0,16,0,1.42,1,2.53,1450360,Y2,,,0,15.997,clean
0,17,0,1.44,1,2.38,978380,Y4,,,0,16.454,clean
0,18,0,1.57,345,2.42,1453131,Y2,,,0,18.068,clean
0,19,0,1.62,1,2.36,1274675,Y4,,,0,16.388,clean
0,20,0,1.42,1,2.34,140011,Y2,,,0,15.416,clean
0,21,0,1.78,1,2.49,715882,Y2,,,0,14.894,clean
0,22,0,1.66,1,2.54,446498,Y2,,,0,14.900,clean
0,23,0,1.44,1,2.37,1445174,Y2,,,0,15.384,clean
0,24,0,1.44,1,2.27,212878,Y2,,,0,16.267,clean
0,25,0,1.50,1,2.44,252664,Y2,,,0,16.586,clean
0,26,0,1.44,1,2.46,210106,Y4,,,0,15.863,clean
0,27,0,1.60,654,2.42,211090,Y2,,,0,15.139,clean
0,28,0,1.38,1,2.29,647396,Y2,,,0,14.754,clean
0,29,0,1.46,1,2.39,381142,Y2,,,0,15.034,clean
0,30,0,1.59,1,2.42,496387,Y4,,,0,15.523,clean
0,31,0,1.66,1,2.60,749677,Y4,,,0,15.750,clean
0,32,0,1.37,453,2.70,331610,Y4,,,0,15.393,clean
0,33,0,1.65,1,2.28,1004219,Y4,,,0,14.561,clean
0,34,0,1.74,1,2.58,543326,Y4,,,0,13.917,clean
0,35,0,1.79,1,2.75,240684,Y2,,,0,14.006,clean
0,36,0,1.68,1,2.68,637472,Y4,,,0,14.358,clean
0,37,0,1.46,1,2.34,1375794,Y2,,,0,14.323,clean
0,38,0,1.48,512,2.59,1173288,Y2,,,0,13.933,clean
0,39,0,1.54,1,2.67,1409680,Y4,,,0,13.481,clean
0,40,0,1.82,1,2.36,560045,Y4,,,0,13.107,clean
0,41,0,1.62,1,2.46,146180,Y4,,,0,13.016,clean
0,42,0,2.09,1,2.44,858128,Y4,,,0,13.290,clean
0,43,0,1.67,1,2.50,1269758,Y4,,,0,13.631,clean
0,44,0,1.80,1,2.40,901580,Y2,,,0,13.343,clean
0,45,0,1.79,1,2.46,888348,Y4,,,0,12.810,clean
0,46,0,1.61,1,2.63,1281470,Y2,,,0,12.578,clean
0,47,0,1.80,1,2.40,1050442,Y4,,,0,12.732,clean
0,48,0,2.48,1,2.51,722855,Y4,,,0,12.912,clean
0,49,0,2.13,1,2.45,725001,Y4,,,0,12.725,clean
0,50,0,1.96,1,2.31,1080215,Y2,,,0,12.177,clean
0,51,0,1.77,1,2.48,1127511,Y2,,,0,11.211,clean
0,52,0,2.29,1,2.40,417262,Y4,,,0,10.140,clean
0,53,0,2.37,1,2.33,454545,Y2,,,0,9.599,clean
0,54,0,2.84,1,2.82,928134,Y4,0.00/noise-like,0.24/noise-like,0,9.447,hump-note
0,55,0,2.71,1,2.31,861794,Y2,0.00/noise-like,0.00/noise-like,0,9.025,hump-note
0,56,0,2.71,1,2.44,883520,Y2,0.00/noise-like,0.00/noise-like,0,8.091,hump-note
0,57,0,0,-1,0,0,-,,,0,6.820,QUARANTINE:dark-lane range=60 distinct=60
0,58,0,0,-1,0,0,-,,,0,5.606,QUARANTINE:dark-lane range=49 distinct=49
0,59,0,0,-1,0,0,-,,,0,4.631,QUARANTINE:dark-lane range=40 distinct=39
0,62,0,0,-1,0,0,-,,,0,2.834,QUARANTINE:dark-lane range=26 distinct=27
0,63,0,0,-1,0,0,-,,,0,2.314,QUARANTINE:dark-lane range=20 distinct=21
1,0,0,6.17,1,2.47,134200,Y2,0.24/noise-like,0.00/noise-like,0,19.329,SPECTRAL-LINE
1,1,0,1.39,444,2.52,997782,Y2,,,0,18.736,clean
1,2,0,1.36,1277,2.52,481457,Y4,,,0,18.197,clean
1,3,0,1.43,1,2.31,350028,Y2,,,0,17.836,clean
1,4,0,1.35,1,2.87,2861,Y2,,,0,17.669,clean
1,5,0,1.32,1246,2.40,1423001,Y4,,,0,17.845,clean
1,6,0,1.38,1,2.32,164688,Y2,,,0,18.174,clean
1,7,0,1.35,1019,2.30,787407,Y2,,,0,17.994,clean
1,8,0,1.52,1,2.41,670105,Y2,,,0,17.341,clean
1,9,0,1.40,1,2.67,1273870,Y2,,,0,17.183,clean
1,10,0,1.54,1,2.42,1139581,Y4,,,0,17.297,clean
1,11,0,1.42,1,2.61,344396,Y2,,,0,17.314,clean
