block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,verdict
0,37,0,1.76,1,388.58,732422,Y2,0.24/noise-like,0.42/WATCH,FAM-HIT
0,38,0,1.75,1,302.81,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,39,0,1.90,1,179.98,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,40,0,1.84,1,76.81,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,41,0,1.86,1,53.79,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,42,0,2.17,1,104.85,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,43,0,2.04,1,221.88,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,44,0,1.94,1,265.18,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,45,0,1.89,1,199.61,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,46,0,2.06,1,153.11,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,47,0,1.96,1,155.28,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,48,0,2.42,1,221.78,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
0,49,0,1.81,1,253.18,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
0,50,0,1.90,1,322.39,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,51,0,2.19,1,215.21,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,52,0,2.61,1,74.75,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,53,0,2.73,1,47.27,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,54,0,2.39,1,54.68,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,55,0,2.91,1,26.59,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
0,56,0,2.81,1,2.67,419855,Y4,0.00/noise-like,0.24/noise-like,hump-note
0,57,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=62 distinct=61
0,58,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=56 distinct=56
0,59,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=52 distinct=51
0,60,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=46 distinct=43
0,61,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=43 distinct=41
0,62,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=31 distinct=32
0,63,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=27 distinct=28
1,0,0,20.63,1024,235.55,732422,Y2,0.00/noise-like,0.00/noise-like,SPECTRAL-LINE
1,1,0,1.53,1,236.82,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,2,0,1.37,301,160.83,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
1,3,0,1.36,933,88.40,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
1,4,0,1.70,1,66.18,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,5,0,1.64,1,82.82,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
1,6,0,1.36,79,160.11,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,7,0,1.66,1,202.53,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,8,0,1.50,1,150.53,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,9,0,1.57,1,154.88,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,10,0,1.43,1,194.63,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
1,11,0,1.60,1,209.18,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,12,0,1.51,1,227.15,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,13,0,1.39,1337,260.95,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,14,0,1.43,1,252.68,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,15,0,1.77,1,238.11,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,16,0,1.35,1027,279.45,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,17,0,1.73,1,349.32,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,18,0,2.09,905,402.05,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
1,19,0,1.55,1,246.68,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,20,0,1.54,1,139.95,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,21,0,1.83,1,110.15,732422,Y2,0.00/noise-like,0.42/WATCH,FAM-HIT
1,22,0,1.63,1,114.62,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,23,0,1.71,1,182.55,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,24,0,1.62,1,295.22,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,25,0,1.63,1,328.67,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,26,0,1.83,1,237.16,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,27,0,1.89,855,154.59,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,28,0,1.71,1,172.19,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,29,0,1.70,1,251.37,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,30,0,1.63,1,388.15,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,31,0,1.80,1,486.01,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,32,0,1.87,1024,441.47,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
1,33,0,1.59,1,331.30,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,34,0,1.84,1,222.91,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,35,0,1.74,1,267.12,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,36,0,1.75,1,387.38,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,37,0,1.83,1,380.22,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,38,0,1.85,1,304.53,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,39,0,1.82,1,179.84,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,40,0,2.14,1,75.71,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,41,0,2.03,1,53.62,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,42,0,2.13,1,111.91,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,43,0,1.93,1,213.23,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,44,0,2.12,1,260.18,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,45,0,1.93,1,205.91,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,46,0,2.14,1,155.05,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
1,47,0,1.70,1,160.07,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,48,0,2.23,1,216.77,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,49,0,1.91,1,256.06,732422,Y2,0.00/noise-like,0.24/noise-like,FAM-HIT
1,50,0,1.78,1,316.69,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,51,0,2.22,1,214.13,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,52,0,2.46,1,78.73,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,53,0,2.46,1,45.28,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
1,54,0,2.38,1,53.56,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,55,0,2.72,1,22.77,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,56,0,3.50,1,2.50,575423,Y2,0.00/noise-like,0.00/noise-like,hump-note
1,57,0,4.13,1,35.65,732422,Y2,0.00/noise-like,0.00/noise-like,FAM-HIT
1,58,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=64 distinct=56
1,59,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=51 distinct=51
1,60,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=55 distinct=47
1,61,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=37 distinct=38
1,62,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=32 distinct=33
1,63,0,0,-1,0,0,-,,,QUARANTINE:dark-lane range=27 distinct=28
2,0,0,19.66,1024,235.88,732422,Y2,0.00/noise-like,0.24/noise-like,SPECTRAL-LINE
2,1,0,1.39,1356,250.75,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
2,2,0,1.53,1,169.41,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
2,3,0,1.48,1,92.75,732422,Y2,0.24/noise-like,0.24/noise-like,FAM-HIT
2,4,0,1.40,989,66.39,732422,Y2,0.24/noise-like,0.00/noise-like,FAM-HIT
