block,chan,pol,spec_ratio,spec_bin,fam_best,fam_hz,fam_tag,vm_sign,vm_diff,spikes,rms,verdict
0,0,0,5.60,1,2.59,885576,Y2,0.24/noise-like,0.00/noise-like,0,18.771,SPECTRAL-LINE
0,1,0,1.36,443,2.55,989199,Y4,,,0,18.382,clean
0,2,0,1.94,1,2.46,1412630,Y4,,,0,17.759,clean
0,3,0,1.48,1,2.41,221193,Y4,,,0,17.261,clean
0,4,0,1.44,1,2.53,402778,Y2,,,0,17.092,clean
0,5,0,1.57,1,2.28,554681,Y2,,,0,17.399,clean
0,6,0,1.32,1019,2.55,109792,Y2,,,0,17.642,clean
0,7,0,1.41,1151,2.38,277698,Y4,,,0,17.338,clean
0,8,0,1.61,1,2.41,451595,Y4,,,0,16.886,clean
0,9,0,1.61,1,2.43,1246512,Y4,,,0,16.722,clean
0,10,0,1.39,551,2.57,131339,Y4,,,0,16.706,clean
0,11,0,1.47,188,2.41,1347363,Y2,,,0,16.726,clean
0,12,0,1.38,664,2.36,130713,Y2,,,0,16.822,clean
0,13,0,1.60,1,2.45,651419,Y2,,,0,16.435,clean
0,14,0,1.59,1,2.66,650078,Y4,,,0,15.806,clean
0,15,0,1.34,924,2.66,698626,Y2,,,0,15.378,clean
0,16,0,1.39,1104,2.52,811458,Y2,,,0,15.522,clean
0,17,0,1.79,1,2.29,570506,Y4,,,0,15.887,clean
0,18,0,1.69,215,2.46,148326,Y4,,,0,17.516,clean
0,19,0,1.58,1,2.62,310242,Y4,,,0,15.783,clean
0,20,0,1.53,1,2.32,20027,Y2,,,0,14.934,clean
0,21,0,1.62,1,2.67,1295775,Y4,,,0,14.356,clean
0,22,0,1.61,1,2.41,702828,Y4,,,0,14.252,clean
0,23,0,1.44,1,2.47,330269,Y2,,,0,14.854,clean
0,24,0,1.58,1,3.03,239432,Y4,0.24/noise-like,0.24/noise-like,0,15.703,FAM-HIT
0,25,0,1.51,1,2.30,154138,Y2,,,0,15.900,clean
0,26,0,1.41,1140,2.37,1430690,Y2,,,0,15.251,clean
0,27,0,1.84,1,2.39,179529,Y2,,,0,14.743,clean
0,28,0,1.70,1,2.59,995189,Y2,,,0,14.400,clean
0,29,0,1.51,1,2.40,360399,Y4,,,0,14.521,clean
0,30,0,1.71,1,2.58,1401722,Y4,,,0,15.078,clean
0,31,0,1.45,1,2.25,1003057,Y4,,,0,15.496,clean
0,32,0,1.61,1,2.39,653744,Y4,,,0,15.016,clean
0,33,0,1.79,1,2.46,258833,Y2,,,0,14.066,clean
0,34,0,1.78,1,2.23,561029,Y4,,,0,13.538,clean
0,35,0,1.75,1,2.55,79036,Y4,,,0,13.652,clean
0,36,0,1.65,1,2.42,151902,Y4,,,0,13.846,clean
0,37,0,1.89,1,2.39,978559,Y2,,,0,13.803,clean
0,38,0,1.69,1,2.81,36567,Y4,,,0,13.624,clean
0,39,0,1.66,1,2.55,135630,Y2,,,0,13.164,clean
0,40,0,2.10,1,2.57,586152,Y4,,,0,12.643,clean
0,41,0,1.87,1,2.46,101209,Y2,,,0,12.688,clean
0,42,0,1.78,1,2.37,998318,Y2,,,0,13.005,clean
0,43,0,1.49,1,2.32,1005024,Y4,,,0,13.196,clean
